#OTU ID	sample_name	abundance
92572	151.03510133402028	13.363672
2513	151.035124672969	1.1299012
42	151.0351395912119	0.5507245
1870	151.03519894705315	0.8867797
2127	151.09640526119304	0.9860167
86368	151.09758944825063	11.096226
90458	151.09762914802454	12.343518
88889	151.09764352404048	11.826302
87841	151.09767835723085	11.549799
1653	152.05669689694497	0.8474003
92531	152.9469805568542	13.150402
92590	152.9469977912849	13.510983
1531	152.94715519724258	0.75327325
92438	152.99476773733883	13.100535
39	153.03264886515703	0.5499971
39078	153.09085002234474	5.456976
22910	153.0908647077269	4.084752
90270	153.11325532325836	12.277499
89573	153.1132555228803	12.050981
88325	153.11330782458708	11.628887
91313	153.13838511871393	12.627595
92376	153.13844554342938	13.0678425
67637	154.00478032032453	8.806478
92460	154.00479745226212	13.108415
62536	154.00480062159428	8.062286
81148	154.98998840002938	10.436226
76504	154.98999091099122	9.929362
74580	154.99000864422618	9.690076
92601	154.99004313492185	13.62734
92433	154.99005333204994	13.100519
92648	154.99008532525747	14.807197
5376	155.07008242128165	2.2145064
27940	155.07009035014892	4.5054803
48546	155.07011146945413	6.3510923
10337	155.15406407155496	2.8742669
819	155.15420603742902	0.65215
1976	156.1382480975082	0.94381857
92419	156.99059430016723	13.090931
5178	157.08331082492555	2.181164
3791	157.08335932394388	1.8554332
8717	157.08579857162854	2.7709901
62493	157.1222454685085	7.932561
1228	157.938561586783	0.7004791
92552	157.9883757249203	13.269375
1159	158.0027806524663	0.68852776
2106	158.00278892885459	0.9887742
1489	158.01259639953196	0.74824953
2493	158.15381664060112	1.125349
62123	158.1538216464569	8.005349
64171	158.15388192984173	8.291157
1618	158.15397709464332	0.84570634
92611	158.961181227207	13.915949
92600	158.96118253514135	13.475994
92647	158.96118326400313	14.747383
92627	158.96118626692822	14.209812
5	158.96132265652977	0.47714922
92366	158.96389181670412	13.067457
91769	158.9639207801678	12.813125
1113	158.96416456566672	0.7058
92396	158.98594162305895	13.090618
31157	159.06499926279048	4.908358
92626	159.06503150017417	14.199346
1656	159.06515557432502	0.8310857
13	159.06516265779916	0.47887185
44373	159.1166797597	5.9116774
90014	160.0741079979732	12.252132
2838	160.07555046533727	1.3613662
2537	160.07556208632326	1.1425738
256	160.09691294476633	0.6085652
46780	160.13299421514932	6.1523356
89909	161.08196327798973	12.247247
89402	161.08197179353343	11.946392
87794	161.08198292716526	11.478032
88590	161.0819791863755	11.734504
86522	161.08200474262514	11.171207
90861	161.0820039437513	12.557729
91930	161.08204292014727	12.889819
80033	161.09588784098668	10.313159
2	161.0959306057194	0.23521459
69439	161.95935124997158	9.108494
6171	162.05476280787312	2.3451953
27285	162.0548162511904	4.45905
38309	163.0388486178074	5.3871284
80823	163.07511764651235	10.396907
56429	163.07517923868295	7.4198527
11766	163.08639131291616	3.0397892
89871	163.09758595039395	12.23701
89379	163.09759947765735	11.932583
88654	163.09760487444092	11.712325
87826	163.09761844074498	11.405705
91308	163.0976197294802	12.591735
86819	163.09764191288556	11.165895
92135	163.097664706833	12.91667
34113	163.11152424372688	5.037821
50197	163.11153011551798	6.5373087
1695	163.12298322946296	0.8461989
27840	163.13270192347264	4.497324
31259	163.132704966688	4.794656
86091	163.1478597159348	11.04747
84556	163.14787433841113	10.818033
92402	163.99038172272182	13.084558
182	164.0667463412525	0.56659794
2312	164.09293438647416	1.0560236
3205	164.1068430795091	1.5375364
42670	164.1068637262875	5.90118
39986	164.10685778176224	5.539393
30921	164.10687152300528	4.76926
47626	164.10686338068948	6.3208857
203	164.92045830898508	0.6462044
61239	165.05442576460527	7.8996615
79841	165.05450606509933	10.283577
47278	165.05451212544668	6.2134895
6096	165.06565157752564	2.3378801
4598	165.0656660015655	2.0320926
2715	165.0656918692329	1.2294216
8250	165.0656969983503	2.6399047
1207	165.06593761219438	0.7020135
26426	165.08803410914524	4.3792505
12384	165.09081784319073	3.104364
23832	165.09084297609076	4.1631236
60828	165.09086314828534	7.839933
4674	165.1119453229187	2.0738904
3733	165.11197072100583	1.8434614
92356	165.1133173767131	13.06831
87157	165.16348197782352	11.267193
92523	165.98274707496134	13.145076
5764	166.0497080782141	2.2787297
3051	166.08611279789537	1.4501262
2565	166.08612055204188	1.1508414
1935	166.0861870078544	0.92939293
